"Individual","Patch","Replicate","Wavelength","Reflectance"
"Ind1","White",1,400,102.478991771997
"Ind2","White",1,400,96.5964700098887
"Ind3","White",1,400,73.1395232203146
"Ind4","White",1,400,100.43481013773
"Ind5","White",1,400,100.133976471721
"Ind1","Black",1,400,2.3214732764907
"Ind2","Black",1,400,4.91484400552713
"Ind3","Black",1,400,1.74499526467942
"Ind4","Black",1,400,12.4785580972009
"Ind5","Black",1,400,8.4420265041498
"Ind1","Orange",1,400,-1.322632821546
"Ind2","Orange",1,400,0.904170840608907
"Ind3","Orange",1,400,5.41936842898074
"Ind4","Orange",1,400,9.64759279032635
"Ind5","Orange",1,400,2.21869262031061
"Ind1","Blue",1,400,47.3141199362417
"Ind2","Blue",1,400,50.2927757955261
"Ind3","Blue",1,400,29.9093309067306
"Ind4","Blue",1,400,43.9577111905134
"Ind5","Blue",1,400,43.1449941355221
"Ind1","White",2,400,98.7481781738567
"Ind2","White",2,400,102.97100683292
"Ind3","White",2,400,73.7258188205985
"Ind4","White",2,400,98.4004005186956
"Ind5","White",2,400,100.487268611039
"Ind1","Black",2,400,4.85246405172638
"Ind2","Black",2,400,9.28839327171037
"Ind3","Black",2,400,1.45584983494709
"Ind4","Black",2,400,9.36766947815368
"Ind5","Black",2,400,8.45868754533944
"Ind1","Orange",2,400,-1.44795034769627
"Ind2","Orange",2,400,-1.37424091109967
"Ind3","Orange",2,400,2.44090467830149
"Ind4","Orange",2,400,6.17443555777531
"Ind5","Orange",2,400,-2.24468889173254
"Ind1","Blue",2,400,42.3684926301908
"Ind2","Blue",2,400,46.0569952656088
"Ind3","Blue",2,400,28.8092894753619
"Ind4","Blue",2,400,45.3787799991631
"Ind5","Blue",2,400,44.0674696982431
"Ind1","White",3,400,98.871460918563
"Ind2","White",3,400,102.580391544403
"Ind3","White",3,400,72.1352882656045
"Ind4","White",3,400,101.504599286731
"Ind5","White",3,400,99.5211005967911
"Ind1","Black",3,400,4.63566138804573
"Ind2","Black",3,400,7.47837530474451
"Ind3","Black",3,400,3.6557650252716
"Ind4","Black",3,400,15.8374986539903
"Ind5","Black",3,400,10.0190081014743
"Ind1","Orange",3,400,0.0374751235161156
"Ind2","Orange",3,400,-1.02487044237244
"Ind3","Orange",3,400,2.82883697590591
"Ind4","Orange",3,400,5.76876260721265
"Ind5","Orange",3,400,-0.983418473659587
"Ind1","Blue",3,400,42.7430599829584
"Ind2","Blue",3,400,48.8418794468109
"Ind3","Blue",3,400,29.8437285599635
"Ind4","Blue",3,400,45.5272396024509
"Ind5","Blue",3,400,40.6476829687373
"Ind1","White",1,405,99.782068055369
"Ind2","White",1,405,100.346217502579
"Ind3","White",1,405,76.3829263313317
"Ind4","White",1,405,103.164710288724
"Ind5","White",1,405,102.219168421461
"Ind1","Black",1,405,7.45721458096234
"Ind2","Black",1,405,6.21596584213016
"Ind3","Black",1,405,4.21626825155995
"Ind4","Black",1,405,6.7701361997064
"Ind5","Black",1,405,12.6896585350397
"Ind1","Orange",1,405,0.848022690971732
"Ind2","Orange",1,405,-0.158478881505129
"Ind3","Orange",1,405,2.14566917024962
"Ind4","Orange",1,405,5.69287185019905
"Ind5","Orange",1,405,-0.501368073256597
"Ind1","Blue",1,405,46.7779557096842
"Ind2","Blue",1,405,46.6658438430657
"Ind3","Blue",1,405,31.6039883896393
"Ind4","Blue",1,405,52.2921867943136
"Ind5","Blue",1,405,44.9928008328244
"Ind1","White",2,405,98.1982582895241
"Ind2","White",2,405,99.3826710780345
"Ind3","White",2,405,73.2309254965933
"Ind4","White",2,405,100.417039621375
"Ind5","White",2,405,102.033573044242
"Ind1","Black",2,405,7.59527310616062
"Ind2","Black",2,405,4.4161010864613
"Ind3","Black",2,405,3.35390879505797
"Ind4","Black",2,405,14.4420299531367
"Ind5","Black",2,405,7.23436292202872
"Ind1","Orange",2,405,1.68668331031158
"Ind2","Orange",2,405,-1.95871683899635
"Ind3","Orange",2,405,2.60417142248962
"Ind4","Orange",2,405,6.06590678322235
"Ind5","Orange",2,405,3.22568177504898
"Ind1","Blue",2,405,46.7847526583583
"Ind2","Blue",2,405,50.6792735416882
"Ind3","Blue",2,405,35.1324556177676
"Ind4","Blue",2,405,54.3532077256719
"Ind5","Blue",2,405,49.3461360358073
"Ind1","White",3,405,101.940622453103
"Ind2","White",3,405,99.6054804286444
"Ind3","White",3,405,77.0609413863257
"Ind4","White",3,405,105.515373893645
"Ind5","White",3,405,103.176216117934
"Ind1","Black",3,405,10.5996691577357
"Ind2","Black",3,405,10.4762455423959
"Ind3","Black",3,405,5.00611132147507
"Ind4","Black",3,405,10.8633242679448
"Ind5","Black",3,405,8.70163371061884
"Ind1","Orange",3,405,-0.248233206854603
"Ind2","Orange",3,405,-1.14448495538764
"Ind3","Orange",3,405,0.723644749641829
"Ind4","Orange",3,405,7.8705398599284
"Ind5","Orange",3,405,-1.48784131981318
"Ind1","Blue",3,405,45.7628725078122
"Ind2","Blue",3,405,53.4126255217683
"Ind3","Blue",3,405,32.6817346068989
"Ind4","Blue",3,405,50.069289789727
"Ind5","Blue",3,405,45.2057749078617
"Ind1","White",1,410,99.7655160764241
"Ind2","White",1,410,102.329710225362
"Ind3","White",1,410,78.0769937859844
"Ind4","White",1,410,103.294732148821
"Ind5","White",1,410,102.511969587637
"Ind1","Black",1,410,5.42845797222125
"Ind2","Black",1,410,7.22859709107796
"Ind3","Black",1,410,5.19559649219867
"Ind4","Black",1,410,14.6286670126991
"Ind5","Black",1,410,4.3289882192042
"Ind1","Orange",1,410,0.188692178380585
"Ind2","Orange",1,410,0.611138570311396
"Ind3","Orange",1,410,4.21095063474699
"Ind4","Orange",1,410,9.4572131654738
"Ind5","Orange",1,410,2.54148724313025
"Ind1","Blue",1,410,46.6862217134096
"Ind2","Blue",1,410,55.5778881026704
"Ind3","Blue",1,410,35.7835325378505
"Ind4","Blue",1,410,54.2019951153099
"Ind5","Blue",1,410,49.8101686561168
"Ind1","White",2,410,101.32745733935
"Ind2","White",2,410,97.9247391703513
"Ind3","White",2,410,72.4259084610408
"Ind4","White",2,410,98.6501151599866
"Ind5","White",2,410,99.1933395268091
"Ind1","Black",2,410,7.23354498838498
"Ind2","Black",2,410,7.72880651444538
"Ind3","Black",2,410,7.42580269689097
"Ind4","Black",2,410,14.5560054808729
"Ind5","Black",2,410,8.65540102343397
"Ind1","Orange",2,410,4.50382075893123
"Ind2","Orange",2,410,0.921037893283328
"Ind3","Orange",2,410,4.87939246493
"Ind4","Orange",2,410,6.84342187658594
"Ind5","Orange",2,410,1.20790955198264
"Ind1","Blue",2,410,52.2900665522846
"Ind2","Blue",2,410,54.2982242112921
"Ind3","Blue",2,410,35.3280638396073
"Ind4","Blue",2,410,50.6376725645924
"Ind5","Blue",2,410,52.8781389993942
"Ind1","White",3,410,99.9627320315986
"Ind2","White",3,410,98.5757962426267
"Ind3","White",3,410,78.6289618618557
"Ind4","White",3,410,103.68722402098
"Ind5","White",3,410,101.068196715114
"Ind1","Black",3,410,3.24403911141616
"Ind2","Black",3,410,7.11368858713944
"Ind3","Black",3,410,5.11918051220598
